Name  1900  1910  1920  1930  1940  1950  1960  1970  1980  1990  2000  2010  
Aaliyah  0  0  0  0  0  0  0  0  0  0  316  85  
Abagail  0  0  0  0  0  0  0  0  0  0  0  903  
Abbey  0  0  0  0  0  0  0  0  0  533  448  616  
Abbie  272  387  578  702  909  0  0  0  0  715  649  621  
Abbigail  0  0  0  0  0  0  0  0  0  0  831  505  
Abby  0  0  0  0  0  0  861  721  491  222  205  197  
Abigail  904  0  0  0  0  992  730  623  314  127  32  6  
Abigale  0  0  0  0  0  0  0  0  0  0  0  911  
Abigayle  0  0  0  0  0  0  0  0  0  0  0  838  
Abril  0  0  0  0  0  0  0  0  0  0  0  720  
Ada  60  81  118  159  215  307  452  591  797  993  0  746  
Adah  439  732  947  0  0  0  0  0  0  0  0  0  
Adaline  676  754  830  0  0  0  0  0  0  0  0  0  
Adalyn  0  0  0  0  0  0  0  0  0  0  0  769  
Adda  830  0  0  0  0  0  0  0  0  0  0  0  
Addie  107  138  203  249  312  455  731  0  0  0  0  0  
Addison  0  0  0  0  0  0  0  0  0  0  560  38  
Addisyn  0  0  0  0  0  0  0  0  0  0  0  771  
Addyson  0  0  0  0  0  0  0  0  0  0  0  405  
Adela  517  566  579  666  781  786  929  0  0  0  0  0  
Adelaide  231  272  275  388  619  911  0  0  0  0  0  777  
Adele  219  226  201  244  322  386  474  789  0  0  0  0  
Adelia  448  593  781  967  0  0  0  0  0  0  0  0  
Adelina  800  827  822  846  980  0  0  0  0  0  0  0  
Adeline  206  184  169  208  369  641  0  0  0  0  0  472  
Adell  656  506  513  575  739  0  0  0  0  0  0  0  
Adella  578  656  616  745  0  0  0  0  0  0  0  0  
Adelle  970  880  732  843  0  0  0  0  0  0  0  0  
Adelyn  0  0  0  0  0  0  0  0  0  0  0  806  
Adline  955  961  0  0  0  0  0  0  0  0  0  0  
Adria  0  0  0  0  0  0  0  0  970  0  0  0  
Adriana  0  0  0  0  0  0  0  592  341  204  145  125  
Adriane  0  0  0  0  0  0  0  995  857  964  0  0  
Adrianna  0  0  0  0  0  0  0  0  0  530  236  189  
Adrianne  0  0  0  0  0  0  0  852  606  567  0  0  
Adrienne  0  814  720  648  368  370  347  318  196  188  384  694  
Adyson  0  0  0  0  0  0  0  0  0  0  0  997  
Afton  0  0  882  0  0  0  0  0  0  0  0  0  
Agatha  407  430  439  586  742  0  0  0  0  0  0  0  
Aggie  978  0  0  0  0  0  0  0  0  0  0  0  
Agnes  41  43  50  74  139  240  399  656  0  0  0  0  
Aida  0  0  939  919  0  0  784  778  908  0  0  0  
Aileen  464  367  320  314  471  611  675  673  819  746  648  506  
Aimee  786  991  0  0  0  0  964  437  145  218  380  677  
Ainsley  0  0  0  0  0  0  0  0  0  0  0  434  
Aisha  0  0  0  0  0  0  0  0  411  527  607  697  
Aiyana  0  0  0  0  0  0  0  0  0  0  0  678  
Aja  0  0  0  0  0  0  0  0  0  830  939  0  
Akira  0  0  0  0  0  0  0  0  0  0  0  917  
Alaina  0  0  0  0  0  0  0  0  0  486  393  248  
Alana  0  0  0  0  0  701  849  719  490  346  291  182  
Alani  0  0  0  0  0  0  0  0  0  0  0  949  
Alanna  0  0  0  0  0  0  0  0  874  613  503  489  
Alayna  0  0  0  0  0  0  0  0  0  0  621  300  
Alba  0  0  908  0  0  0  0  0  0  0  0  0  
Alberta  162  113  121  147  180  255  423  686  0  0  0  0  
Albertha  784  538  634  649  746  975  0  0  0  0  0  0  
Albertine  677  802  905  0  0  0  0  0  0  0  0  0  
Albina  454  502  469  667  0  0  0  0  0  0  0  0  
Alda  536  561  577  661  927  0  0  0  0  0  0  0  
Aleah  0  0  0  0  0  0  0  0  0  0  832  638  
Alecia  0  0  0  0  0  0  0  800  678  609  940  0  
Aleena  0  0  0  0  0  0  0  0  0  0  0  789  
Alejandra  0  0  0  0  0  0  0  0  656  371  167  224  
Alena  0  0  0  0  0  0  0  0  0  0  879  701  
Alene  919  621  460  459  545  805  0  0  0  0  0  0  
Alesha  0  0  0  0  0  0  0  0  943  709  972  0  
Alesia  0  0  0  0  0  0  0  564  0  0  0  0  
Alessandra  0  0  0  0  0  0  0  0  0  0  797  469  
Aleta  0  0  0  0  0  716  818  0  0  0  0  0  
Aletha  756  686  658  713  850  0  0  0  0  0  0  0  
Alexa  0  0  0  0  0  0  0  0  848  360  102  53  
Alexandra  0  0  0  0  0  741  755  505  328  68  29  43  
Alexandrea  0  0  0  0  0  0  0  0  0  0  578  0  
Alexandria  0  0  0  0  0  0  0  0  865  192  80  137  
Alexia  0  0  0  0  0  0  0  0  0  765  266  170  
Alexis  0  0  0  0  0  633  684  751  338  95  15  11  
Alexus  0  0  0  0  0  0  0  0  0  0  247  493  
Alfreda  763  729  524  508  633  692  575  842  0  0  0  0  
Alia  0  0  0  0  0  0  0  0  0  0  977  879  
Alice  14  10  13  17  25  44  90  151  256  334  418  338  
Alicia  889  824  674  436  392  312  258  156  73  46  88  159  
Alida  584  785  988  0  0  0  0  0  0  0  0  0  
Alina  0  0  0  0  0  0  0  0  0  841  542  315  
Aline  375  329  333  374  494  775  0  0  0  0  0  0  
Alisa  0  0  0  0  0  0  583  302  334  442  568  795  
Alisha  0  0  0  0  0  0  0  757  251  133  225  532  
Alison  0  0  0  0  0  586  327  245  129  109  169  243  
Alissa  0  0  0  0  0  0  0  837  412  301  256  356  
Alivia  0  0  0  0  0  0  0  0  0  0  855  251  
Aliya  0  0  0  0  0  0  0  0  0  0  0  713  
Aliyah  0  0  0  0  0  0  0  0  0  0  430  200  
Aliza  0  0  0  0  0  0  0  0  0  0  0  833  
Alize  0  0  0  0  0  0  0  0  0  0  0  965  
Allene  630  477  425  444  559  865  0  0  0  0  0  0  
Allie  177  197  291  365  485  816  0  0  0  893  423  254  
Alline  0  0  894  969  0  0  0  0  0  0  0  0  
Allison  0  0  0  0  0  915  387  191  86  50  39  40  
